央视频道,#genre#
CCTV-1,http://iptvrr.sh.chinamobile.com:6060/cms001/ch00000090990000001022/index.m3u8
CCTV-1,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?Contentid=reallive-hdcctv1&channel-id=ystenlive&livemode=1&stbId=3
CCTV-1,http://121.18.43.254:10000/hls/1/index.m3u8
CCTV-1,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225922/index.m3u8
CCTV-1,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225812/index.m3u8
CCTV-1,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227014/index.m3u8
CCTV-2,http://iptvrr.sh.chinamobile.com:6060/cms001/ch00000090990000001220/index.m3u8
CCTV-2,http://bl.dchwtq.asia:10000/rtp/239.69.1.102:10250
CCTV-2,http://121.18.43.254:10000/hls/2/index.m3u8
CCTV-2,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226795/index.m3u8
CCTV-2,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226915/index.m3u8
CCTV-2,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225923/index.m3u8
CCTV-3,http://iptvrr.sh.chinamobile.com:6060/cms001/ch00000090990000001186/index.m3u8
CCTV-3,http://bl.dchwtq.asia:10000/rtp/239.69.1.122:10370
CCTV-3,http://121.18.43.254:10000/hls/3/index.m3u8
CCTV-3,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227055/index.m3u8
CCTV-3,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227256/index.m3u8
CCTV-3,http://218.29.55.44:808/hls/3/index.m3u8
CCTV-4,http://iptvrr.sh.chinamobile.com:6060/cms001/ch00000090990000001221/index.m3u8
CCTV-4,http://bl.dchwtq.asia:10000/rtp/239.69.1.138:10466
CCTV-4,http://121.24.98.226:8090/hls/12/index.m3u8
CCTV-4,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225802/index.m3u8
CCTV-4,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227225/index.m3u8
CCTV-4,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226968/index.m3u8
